,new_cases,new_deaths,new_recovered,new_activeCases,total_cases,total_deaths,total_recovered,total_activeCases,Province,Island,Longitude,Latitude,ConfirmedInOther_Country,DeathsInOther_Country,RecoveredInOther_Country
2020-03-01,2.0,0.0,0.0,2.0,39.0,20.0,41.0,-22.0,DKI Jakarta,Jawa,106.8361183,-6.204698991,0,0,0.0
2020-03-02,2.0,0.0,0.0,2.0,41.0,20.0,41.0,-20.0,DKI Jakarta,Jawa,106.8361183,-6.204698991,0,0,0.0
2020-03-02,1.0,0.0,0.0,1.0,2.0,0.0,3.0,-1.0,Riau,Sumatera,101.8051092,0.511647851,0,0,0.0
2020-03-03,2.0,0.0,0.0,2.0,43.0,20.0,41.0,-18.0,DKI Jakarta,Jawa,106.8361183,-6.204698991,0,0,0.0
2020-03-03,1.0,1.0,0.0,0.0,1.0,1.0,8.0,-8.0,Jawa Barat,Jawa,107.6037083,-6.920432083,0,0,0.0
2020-03-03,0.0,0.0,0.0,0.0,2.0,0.0,3.0,-1.0,Riau,Sumatera,101.8051092,0.511647851,0,0,0.0
2020-03-04,2.0,0.0,0.0,2.0,45.0,20.0,41.0,-16.0,DKI Jakarta,Jawa,106.8361183,-6.204698991,0,0,0.0
2020-03-04,1.0,0.0,0.0,1.0,2.0,1.0,8.0,-7.0,Jawa Barat,Jawa,107.6037083,-6.920432083,0,0,0.0
2020-03-04,0.0,0.0,0.0,0.0,2.0,0.0,3.0,-1.0,Riau,Sumatera,101.8051092,0.511647851,0,0,0.0
2020-03-05,0.0,1.0,0.0,-1.0,45.0,21.0,41.0,-17.0,DKI Jakarta,Jawa,106.8361183,-6.204698991,0,0,0.0
2020-03-05,1.0,0.0,0.0,1.0,3.0,1.0,8.0,-6.0,Jawa Barat,Jawa,107.6037083,-6.920432083,0,0,0.0
2020-03-05,0.0,0.0,0.0,0.0,2.0,0.0,3.0,-1.0,Riau,Sumatera,101.8051092,0.511647851,0,0,0.0
2020-03-06,1.0,0.0,1.0,0.0,1.0,5.0,74.0,-78.0,Banten,Jawa,106.10900430000001,-6.4567363879999995,0,0,0.0
2020-03-06,0.0,0.0,0.0,0.0,45.0,21.0,41.0,-17.0,DKI Jakarta,Jawa,106.8361183,-6.204698991,0,0,0.0
2020-03-06,1.0,0.0,0.0,1.0,4.0,1.0,8.0,-5.0,Jawa Barat,Jawa,107.6037083,-6.920432083,0,0,0.0
2020-03-06,0.0,0.0,0.0,0.0,2.0,0.0,3.0,-1.0,Riau,Sumatera,101.8051092,0.511647851,0,0,0.0
2020-03-07,0.0,0.0,0.0,0.0,1.0,5.0,74.0,-78.0,Banten,Jawa,106.10900430000001,-6.4567363879999995,0,0,0.0
2020-03-07,0.0,2.0,0.0,-2.0,45.0,23.0,41.0,-19.0,DKI Jakarta,Jawa,106.8361183,-6.204698991,0,0,0.0
